County,Precinct_ID,Precinct_name,Black_Male_reg,Black_Male_voted,Black_Female_reg,Black_Female_voted,Black_unknown_reg,Black_unknown_voted,White_Male_reg,White_Male_voted,White_Female_reg,White_Female_voted,White_unknown_reg,White_unknown_voted,Asian_Male_reg,Asian_Male_voted,Asian_Female_reg,Asian_Female_voted,Asian_unknown_reg,Asian_unknown_voted,Hisp_Male_reg,Hisp_Male_voted,Hisp_Female_reg,Hisp_Female_voted,Hisp_unknown_reg,Hisp_unknown_voted,NAm_Male_reg,NAm_Male_voted,NAm_Female_reg,NAm_Female_voted,NAm_unknown_reg,NAm_unknown_voted,Other_Male_reg,Other_Male_voted,Other_Female_reg,Other_Female_voted,Other_unknown_reg,Other_unknown_voted,Unknown_Male_reg,Unknown_Male_voted,Unknown_Female_reg,Unknown_Female_voted,Unknown_unknown_reg,Unknown_unknown_voted,Total_reg,Total_voted
ECHOLS,99999,99999,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
BULLOCH,1,lockhart,65,37,73,56,0,0,212,150,251,176,1,1,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,2,2,1,1,0,0,28,7,31,13,0,0,668,445
BULLOCH,10,emit,201,107,258,166,1,0,1031,628,1042,661,0,0,7,1,5,1,0,0,13,7,11,7,1,0,1,0,2,0,0,0,11,7,15,4,0,0,195,70,161,65,1,0,2956,1724
BULLOCH,11,statesboro,1023,416,1542,806,4,1,1326,799,1570,949,0,0,16,7,22,9,0,0,28,11,31,10,0,0,1,1,3,0,0,0,18,8,26,11,0,0,335,83,318,108,3,2,6266,3221
BULLOCH,12,portal,170,79,246,128,0,0,508,320,581,370,0,0,0,0,0,0,0,0,7,1,5,1,0,0,1,0,0,0,0,0,2,0,4,3,0,0,97,21,79,20,0,0,1700,943
BULLOCH,13,fair,487,182,663,307,0,0,1903,1220,2187,1385,2,1,41,15,36,24,0,0,45,15,51,23,0,0,2,2,1,1,0,0,17,2,28,12,0,0,355,125,345,118,2,2,6165,3434
BULLOCH,14,church,743,318,1247,656,0,0,1402,836,1614,1002,2,1,27,11,24,9,0,0,33,14,32,13,0,0,1,1,2,1,0,0,20,12,19,8,0,0,345,88,348,97,1,1,5860,3068
BULLOCH,15,pittman park,912,256,1242,466,3,0,1536,686,1569,706,6,1,30,7,25,9,0,0,75,25,77,37,0,0,3,2,1,1,0,0,55,22,70,30,0,0,344,60,325,67,7,3,6280,2378
BULLOCH,16,leefield,17,4,25,17,0,0,338,230,407,265,1,0,3,1,1,1,0,0,4,2,0,0,0,0,1,0,1,0,0,0,3,0,3,1,0,0,51,19,39,15,0,0,894,555
BULLOCH,2,blitch,87,55,116,78,0,0,709,523,775,566,0,0,1,0,3,2,0,0,6,3,7,3,0,0,0,0,0,0,0,0,2,2,5,3,0,0,86,33,75,39,0,0,1872,1307
BULLOCH,3,hagin,267,135,355,217,0,0,645,436,715,475,1,0,2,0,5,3,0,0,6,2,12,4,0,0,1,0,0,0,0,0,4,1,1,0,0,0,134,40,102,39,1,0,2251,1352
BULLOCH,4,brooklet,114,52,184,107,0,0,1038,715,1227,815,2,1,14,6,16,11,0,0,15,2,14,8,0,0,1,1,2,0,0,0,14,6,7,2,0,0,218,80,146,64,1,0,3013,1870
BULLOCH,5,stilson,57,22,67,39,0,0,711,416,820,489,0,0,0,0,2,1,0,0,2,0,9,6,0,0,0,0,2,1,0,0,3,1,2,0,0,0,137,45,114,27,0,0,1926,1047
BULLOCH,6,bay,35,16,46,32,0,0,566,375,645,415,0,0,1,0,3,1,0,0,6,2,5,1,0,0,1,0,2,1,0,0,4,1,4,1,0,0,75,33,78,36,0,0,1471,914
BULLOCH,7,nevils,56,22,91,55,0,0,411,268,426,278,2,2,4,1,1,1,0,0,5,2,3,0,0,0,0,0,0,0,0,0,2,2,5,2,0,0,82,18,63,16,0,0,1151,667
